Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,Matches
520,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,27-039,1998,6.0,26,4.33,15,7,2,0,2,0,3,0.50,Matches
521,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28-080,1997,6.0,1,0.17,0,1,0,0,0,0,0,0.00,Matches
522,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,32-072,1993,6.0,14,2.33,12,0,0,1,1,0,2,0.33,Matches
523,Alessandro Di Pardo,it ITA,DF,Cagliari,it Serie A,26-089,1999,0.6,0,0.00,0,0,0,0,0,0,0,0.00,Matches
524,Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,28-333,1996,3.2,4,1.24,1,0,0,1,1,1,2,0.62,Matches
525,Bambo Diaby,sn SEN,DF,Elche,es La Liga,27-302,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,Matches
526,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,28-300,1996,5.0,6,1.19,5,0,0,0,1,0,2,0.40,Matches
527,Bafodé Diakité,fr FRA,DF,Bournemouth,eng Premier League,24-282,2001,6.0,4,0.67,4,0,0,0,0,0,0,0.00,Matches
528,Amad Diallo,ci CIV,"DF,MF",Manchester Utd,eng Premier League,23-096,2002,5.0,25,5.03,16,0,2,3,3,1,4,0.81,Matches
529,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,30-119,1995,3.9,6,1.55,3,0,1,1,1,0,1,0.26,Matches
530,Grady Diangana,cd COD,"MF,FW",Elche,es La Liga,27-179,1998,1.6,1,0.63,1,0,0,0,0,0,0,0.00,Matches
531,Habib Diarra,sn SEN,MF,Sunderland,eng Premier League,21-285,2004,3.8,6,1.57,3,0,1,1,1,0,1,0.26,Matches
532,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,24-339,2000,2.4,2,0.83,2,0,0,0,0,0,0,0.00,Matches
533,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,28-154,1997,6.1,1,0.16,1,0,0,0,0,0,1,0.16,Matches
534,Krépin Diatta,sn SEN,DF,Monaco,fr Ligue 1,26-232,1999,2.1,9,4.20,9,0,0,0,0,0,1,0.47,Matches
535,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32-115,1993,7.0,3,0.43,3,0,0,0,0,0,2,0.29,Matches
536,Brahim Díaz,ma MAR,FW,Real Madrid,es La Liga,26-073,1999,2.2,8,3.69,8,0,0,0,0,0,3,1.38,Matches
537,Junior Diaz,ci CIV,DF,Brest,fr Ligue 1,22-084,2003,5.2,2,0.38,1,0,0,1,0,0,0,0.00,Matches
538,Luis Díaz,co COL,FW,Bayern Munich,de Bundesliga,28-275,1997,5.7,25,4.36,19,0,3,2,1,0,7,1.22,Matches
539,Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,es La Liga,27-132,1998,5.4,12,2.22,9,1,0,2,0,0,0,0.00,Matches
540,Tyler Dibling,eng ENG,FW,Everton,eng Premier League,19-217,2006,0.7,1,1.50,0,0,0,0,1,0,0,0.00,Matches
541,Nouha Dicko,ml MLI,FW,Paris FC,fr Ligue 1,33-154,1992,0.5,2,4.39,1,0,0,1,0,0,1,2.20,Matches
542,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,25-206,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,Matches
543,Eric Dier,eng ENG,DF,Monaco,fr Ligue 1,31-273,1994,6.0,8,1.33,7,0,0,0,0,1,1,0.17,Matches
544,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32-087,1993,5.4,14,2.58,10,3,0,1,0,0,2,0.37,Matches
545,Kevin Diks,id IDN,DF,Gladbach,de Bundesliga,29-009,1996,5.2,9,1.75,8,0,1,0,0,0,0,0.00,Matches
546,Federico Dimarco,it ITA,DF,Inter,it Serie A,27-339,1997,4.4,31,6.99,21,8,0,1,0,1,4,0.90,Matches
547,Junior Dina Ebimbe,fr FRA,"FW,MF",Brest,fr Ligue 1,24-328,2000,1.4,0,0.00,0,0,0,0,0,0,0,0.00,Matches
548,Eren Dinkçi,de GER,"FW,MF",Freiburg,de Bundesliga,23-306,2001,2.3,5,2.13,4,0,0,0,0,1,0,0.00,Matches
549,Yan Diomandé,ci CIV,FW,RB Leipzig,de Bundesliga,18-335,2006,3.2,12,3.79,10,0,2,0,0,0,1,0.32,Matches
550,Issa Diop,fr FRA,DF,Fulham,eng Premier League,28-279,1997,0.9,1,1.06,1,0,0,0,0,0,0,0.00,Matches
551,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,20-156,2005,0.1,1,7.50,0,1,0,0,0,0,0,0.00,Matches
552,Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,25-128,2000,4.3,18,4.20,16,0,1,1,0,0,0,0.00,Matches
553,Andy Diouf,fr FRA,MF,Inter,it Serie A,22-151,2003,0.3,1,3.21,1,0,0,0,0,0,0,0.00,Matches
554,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22-151,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
555,El Hadji Malick Diouf,sn SEN,DF,West Ham,eng Premier League,20-291,2004,7.0,11,1.57,8,2,1,0,0,0,3,0.43,Matches
556,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,25-333,1999,7.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
557,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,28-025,1997,0.1,1,9.00,1,0,0,0,0,0,0,0.00,Matches
558,Matías Dituro,ar ARG,GK,Elche,es La Liga,38-160,1987,5.0,3,0.60,1,2,0,0,0,0,2,0.40,Matches
559,Djené,tg TOG,DF,Getafe,es La Liga,33-288,1991,5.9,3,0.51,3,0,0,0,0,0,0,0.00,Matches
560,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32-238,1993,5.0,5,1.00,4,0,1,0,0,0,0,0.00,Matches
561,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33-264,1992,8.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
562,Ritsu Doan,jp JPN,"FW,MF",Eint Frankfurt,de Bundesliga,27-121,1998,5.5,21,3.79,10,5,0,2,3,1,5,0.90,Matches
563,Dodô,br BRA,DF,Fiorentina,it Serie A,26-332,1998,5.9,19,3.23,15,0,2,0,2,0,1,0.17,Matches
564,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27-107,1998,6.0,7,1.17,4,0,0,2,0,1,1,0.17,Matches
565,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,33-272,1992,2.5,2,0.80,2,0,0,0,0,0,0,0.00,Matches
566,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23-150,2002,5.4,6,1.11,5,1,0,0,0,0,0,0.00,Matches
567,Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,23-141,2002,4.3,26,6.03,18,0,7,1,0,0,3,0.70,Matches
568,Tyrhys Dolan,eng ENG,"FW,MF",Espanyol,es La Liga,23-291,2001,6.3,25,3.98,16,1,2,2,4,0,3,0.48,Matches
569,Marc Domenech,es ESP,"FW,MF",Mallorca,es La Liga,19-287,2006,2.3,4,1.75,2,0,0,0,2,0,1,0.44,Matches
570,Benjamín Domínguez,ar ARG,"FW,MF",Bologna,it Serie A,22-026,2003,0.8,3,3.65,3,0,0,0,0,0,0,0.00,Matches
571,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24-246,2001,4.0,4,1.00,3,0,0,0,0,1,1,0.25,Matches
572,Nicolás Domínguez,ar ARG,MF,Nott'ham Forest,eng Premier League,27-109,1998,0.5,1,2.00,1,0,0,0,0,0,0,0.00,Matches
573,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,de Bundesliga,30-064,1995,3.1,18,5.74,12,1,2,3,0,0,0,0.00,Matches
574,John Donald,es ESP,"MF,DF",Elche,es La Liga,25-046,2000,1.8,0,0.00,0,0,0,0,0,0,0,0.00,Matches
575,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26-232,1999,4.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
576,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,20-354,2004,5.2,13,2.48,12,0,1,0,0,0,1,0.19,Matches
577,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27-273,1998,4.1,6,1.46,5,1,0,0,0,0,1,0.24,Matches
578,Lohann Doucet,fr FRA,MF,Paris FC,fr Ligue 1,23-031,2002,0.9,4,4.39,4,0,0,0,0,0,0,0.00,Matches
579,Fodé Doucouré,ml MLI,"MF,FW",Le Havre,fr Ligue 1,24-254,2001,4.0,18,4.46,15,0,0,3,0,0,1,0.25,Matches
580,Désiré Doué,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,20-134,2005,1.9,11,5.89,8,0,0,0,3,0,1,0.54,Matches
581,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,22-363,2002,2.3,2,0.89,2,0,0,0,0,0,0,0.00,Matches
582,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,22-083,2003,5.5,6,1.09,3,0,0,1,1,1,2,0.36,Matches
583,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22-239,2003,6.2,21,3.38,15,2,0,2,2,0,2,0.32,Matches
584,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,26-074,1999,3.2,7,2.16,6,0,0,0,0,1,2,0.62,Matches
585,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28-116,1997,2.0,5,2.54,5,0,0,0,0,0,1,0.51,Matches
586,Max Dowman,eng ENG,FW,Arsenal,eng Premier League,15-288,2009,0.3,2,6.21,0,0,0,0,2,0,1,3.10,Matches
587,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30-219,1995,5.5,2,0.36,2,0,0,0,0,0,0,0.00,Matches
588,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36-273,1989,7.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
589,Denzel Dumfries,nl NED,DF,Inter,it Serie A,29-180,1996,4.3,9,2.08,5,2,0,1,1,0,0,0.00,Matches
590,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33-328,1991,7.0,2,0.29,1,0,0,1,0,0,1,0.14,Matches
591,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,24-143,2001,3.6,4,1.10,3,0,0,1,0,0,1,0.28,Matches
592,Hugo Duro,es ESP,FW,Valencia,es La Liga,25-339,1999,4.8,7,1.47,4,0,0,3,0,0,0,0.00,Matches
593,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,31-334,1993,1.5,10,6.47,3,3,0,3,1,0,1,0.65,Matches
594,Edin Džeko,ba BIH,FW,Fiorentina,it Serie A,39-212,1986,1.0,2,1.94,0,0,0,1,1,0,0,0.00,Matches
595,Adam Dźwigała,pl POL,DF,St. Pauli,de Bundesliga,30-020,1995,3.7,1,0.27,1,0,0,0,0,0,0,0.00,Matches
596,Aron Dønnum,no NOR,"MF,FW",Toulouse,fr Ligue 1,27-178,1998,7.0,28,4.00,14,6,4,2,2,0,2,0.29,Matches
597,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,21-060,2004,2.5,4,1.63,1,0,1,1,1,0,0,0.00,Matches
598,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,26-218,1999,0.6,0,0.00,0,0,0,0,0,0,0,0.00,Matches
599,Claudio Echeverri,ar ARG,"MF,FW",Leverkusen,de Bundesliga,19-286,2006,0.6,2,3.46,1,1,0,0,0,0,0,0.00,Matches
600,Éderson,br BRA,MF,Atalanta,it Serie A,26-100,1999,1.0,2,1.94,2,0,0,0,0,0,0,0.00,Matches
601,Noah Edjouma,fr FRA,"FW,MF",Toulouse,fr Ligue 1,20-011,2005,1.9,9,4.63,7,0,0,0,0,2,1,0.51,Matches
602,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,27-272,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
603,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,27-272,1998,2.1,3,1.44,2,0,0,0,1,0,0,0.00,Matches
604,Marcus Edwards,eng ENG,FW,Burnley,eng Premier League,26-316,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,Matches
605,CJ Egan-Riley,eng ENG,DF,Marseille,fr Ligue 1,22-286,2003,2.3,4,1.73,4,0,0,0,0,0,0,0.00,Matches
606,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-311,1996,6.0,10,1.67,8,1,0,1,0,0,0,0.00,Matches
607,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,30-143,1995,4.1,3,0.74,3,0,0,0,0,0,1,0.25,Matches
608,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,27-331,1997,1.1,1,0.94,1,0,0,0,0,0,0,0.00,Matches
609,Chidera Ejuke,ng NGA,"FW,MF",Sevilla,es La Liga,27-286,1998,2.0,6,2.95,5,0,1,0,0,0,1,0.49,Matches
610,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,26-359,1998,5.9,2,0.34,2,0,0,0,0,0,0,0.00,Matches
611,Jeff Ekhator,it ITA,"FW,DF",Genoa,it Serie A,18-338,2006,1.6,4,2.48,3,0,0,0,1,0,0,0.00,Matches
612,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23-117,2002,4.2,12,2.83,7,0,3,2,0,0,2,0.47,Matches
613,Jurgen Ekkelenkamp,nl NED,"MF,DF",Udinese,it Serie A,25-193,2000,1.1,0,0.00,0,0,0,0,0,0,0,0.00,Matches
614,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,22-057,2003,5.1,10,1.96,8,0,0,1,0,1,0,0.00,Matches
615,Caleb Ekuban,gh GHA,"FW,MF",Genoa,it Serie A,31-206,1994,1.4,7,5.12,4,1,0,2,0,0,1,0.73,Matches
616,Anthony Elanga,se SWE,"FW,MF",Newcastle Utd,eng Premier League,23-171,2002,3.7,6,1.64,6,0,0,0,0,0,0,0.00,Matches
617,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28-192,1997,5.3,5,0.94,3,0,0,0,0,2,1,0.19,Matches
618,Unai Elgezabal,es ESP,DF,Levante,es La Liga,32-173,1993,6.0,3,0.50,3,0,0,0,0,0,0,0.00,Matches
619,Mikael Ellertsson,is ISL,"FW,DF",Genoa,it Serie A,23-218,2002,4.8,6,1.24,4,0,0,2,0,0,0,0.00,Matches
620,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,22-194,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
621,Harvey Elliott,eng ENG,"MF,FW",Aston Villa,eng Premier League,22-194,2003,1.1,4,3.67,4,0,0,0,0,0,1,0.92,Matches
622,Elif Elmas,mk MKD,MF,Napoli,it Serie A,26-021,1999,1.1,2,1.86,1,0,1,0,0,0,0,0.00,Matches
623,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-201,1994,1.1,1,0.95,1,0,0,0,0,0,0,0.00,Matches
624,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,29-015,1996,6.0,2,0.33,2,0,0,0,0,0,0,0.00,Matches
625,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,28-243,1997,3.1,5,1.60,4,0,0,0,1,0,0,0.00,Matches
626,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-254,2003,2.5,3,1.19,1,0,0,2,0,0,2,0.79,Matches
627,Emersonn,br BRA,FW,Toulouse,fr Ligue 1,21-091,2004,1.1,2,1.80,1,0,1,0,0,0,0,0.00,Matches
628,Julio Enciso,py PAR,MF,Strasbourg,fr Ligue 1,21-265,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,Matches
629,Wataru Endo,jp JPN,"MF,DF",Liverpool,eng Premier League,32-248,1993,0.4,2,4.62,2,0,0,0,0,0,1,2.31,Matches
630,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,24-250,2001,3.3,4,1.20,2,1,0,1,0,0,0,0.00,Matches
631,Christian Eriksen,dk DEN,MF,Wolfsburg,de Bundesliga,33-243,1992,1.1,3,2.78,3,0,0,0,0,0,1,0.93,Matches
632,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30-018,1995,8.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
633,Carlos Espí,es ESP,FW,Levante,es La Liga,20-083,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,Matches
634,Alfonso Espino,uy URU,"DF,FW",Rayo Vallecano,es La Liga,33-283,1992,1.2,3,2.57,1,1,0,0,1,0,0,0.00,Matches
635,Francesco Esposito,it ITA,FW,Inter,it Serie A,20-109,2005,1.7,6,3.44,5,0,0,0,1,0,0,0.00,Matches
636,Sebastiano Esposito,it ITA,"FW,MF",Cagliari,it Serie A,23-105,2002,4.8,22,4.62,15,4,1,1,0,1,0,0.00,Matches
637,Romain Esse,eng ENG,FW,Crystal Palace,eng Premier League,20-155,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,Matches
638,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-265,1998,1.6,2,1.22,1,0,0,1,0,0,1,0.61,Matches
639,Marco Esteban,es ESP,DF,Oviedo,es La Liga,19-287,2006,0.5,0,0.00,0,0,0,0,0,0,0,0.00,Matches
640,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,23-142,2002,6.9,4,0.58,2,0,0,1,1,0,0,0.00,Matches
641,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-335,1995,0.4,3,8.44,2,1,0,0,0,0,0,0.00,Matches
642,Pervis Estupiñán,ec ECU,DF,Milan,it Serie A,27-267,1998,4.1,10,2.43,8,1,1,0,0,0,1,0.24,Matches
643,Karl Etta Eyong,cm CMR,FW,Villarreal,es La Liga,22-001,2003,2.8,6,2.11,5,0,0,0,1,0,2,0.70,Matches
644,Karl Etta Eyong,cm CMR,FW,Levante,es La Liga,22-001,2003,4.2,8,1.89,4,0,1,2,1,0,3,0.71,Matches
645,Evanilson,br BRA,FW,Bournemouth,eng Premier League,26-009,1999,6.8,16,2.34,13,0,0,1,2,0,1,0.15,Matches
646,Edu Expósito,es ESP,MF,Espanyol,es La Liga,29-075,1996,5.5,31,5.64,17,13,1,0,0,0,5,0.91,Matches
647,Eberechi Eze,eng ENG,"MF,FW",Arsenal,eng Premier League,27-108,1998,3.5,13,3.75,9,0,1,3,0,0,3,0.87,Matches
648,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,27-108,1998,0.9,3,3.25,1,0,0,2,0,0,0,0.00,Matches
649,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,23-302,2001,2.8,12,4.25,9,0,3,0,0,0,1,0.35,Matches
650,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22-274,2003,2.8,7,2.54,4,0,1,1,1,0,0,0.00,Matches
651,Alieu Fadera,gm GAM,"FW,MF",Sassuolo,it Serie A,23-346,2001,1.7,7,4.06,4,0,1,0,2,0,2,1.16,Matches
652,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24-245,2001,2.5,5,1.97,3,1,0,0,1,0,0,0.00,Matches
653,Omar Falah,es ESP,"DF,MF",Oviedo,es La Liga,22-036,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,Matches
654,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-186,1995,6.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
655,Ansu Fati,es ESP,"MF,FW",Monaco,fr Ligue 1,22-349,2002,1.8,9,5.03,9,0,0,0,0,0,1,0.56,Matches
656,Abdoulaye Faye,sn SEN,DF,Lorient,fr Ligue 1,21-023,2004,5.4,4,0.75,3,0,0,1,0,0,1,0.19,Matches
657,Jacopo Fazzini,it ITA,MF,Fiorentina,it Serie A,22-213,2003,3.0,10,3.38,8,1,1,0,0,0,0,0.00,Matches
658,Aleix Febas,es ESP,MF,Elche,es La Liga,29-255,1996,8.0,16,2.00,13,0,0,1,0,2,1,0.12,Matches
659,Mattia Felici,it ITA,"MF,DF",Cagliari,it Serie A,24-181,2001,1.4,6,4.29,3,2,0,1,0,0,1,0.71,Matches
660,Luiz Felipe,it ITA,DF,Rayo Vallecano,es La Liga,28-207,1997,2.4,2,0.82,2,0,0,0,0,0,0,0.00,Matches
661,Robin Fellhauer,de GER,"DF,MF",Augsburg,de Bundesliga,27-267,1998,4.6,8,1.73,7,0,0,0,0,1,1,0.22,Matches
662,Kiko Femenía,es ESP,"DF,FW",Getafe,es La Liga,34-255,1991,4.2,5,1.18,5,0,0,0,0,0,0,0.00,Matches
663,Evan Ferguson,ie IRL,FW,Roma,it Serie A,20-361,2004,3.2,12,3.78,9,0,1,2,0,0,2,0.63,Matches
664,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,26-052,1999,2.2,4,1.81,3,0,0,1,0,0,0,0.00,Matches
665,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,31-037,1994,7.0,43,6.18,30,7,1,4,1,0,0,0.00,Matches
666,Mateus Fernandes,pt POR,"MF,FW",West Ham,eng Premier League,21-097,2004,4.4,6,1.36,6,0,0,0,0,0,0,0.00,Matches
667,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24-271,2001,6.9,21,3.06,16,2,0,0,2,1,4,0.58,Matches
668,Ezequiél Fernández,ar ARG,MF,Leverkusen,de Bundesliga,23-082,2002,1.6,3,1.91,3,0,0,0,0,0,0,0.00,Matches
669,Manu Fernández,es ESP,DF,Celta Vigo,es La Liga,24-175,2001,3.7,3,0.82,3,0,0,0,0,0,2,0.55,Matches
670,Pedro Fernandez,es ESP,MF,Barcelona,es La Liga,17-276,2008,0.5,3,6.00,3,0,0,0,0,0,0,0.00,Matches
671,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,22-169,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,Matches
672,Roberto Férnandez,es ESP,"FW,MF",Espanyol,es La Liga,23-104,2002,5.9,14,2.36,10,0,0,2,2,0,4,0.67,Matches
673,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,20-254,2005,5.5,22,3.97,15,2,1,2,2,0,2,0.36,Matches
674,Junior Firpo,do DOM,DF,Betis,es La Liga,29-054,1996,3.5,10,2.82,9,0,0,0,0,1,2,0.56,Matches
675,Jonathan Fischer,dk DEN,GK,Metz,fr Ligue 1,23-340,2001,7.0,1,0.14,1,0,0,0,0,0,0,0.00,Matches
676,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,25-003,2000,6.0,14,2.35,12,2,0,0,0,0,1,0.17,Matches
677,Mark Flekken,nl NED,GK,Leverkusen,de Bundesliga,32-124,1993,6.0,2,0.33,2,0,0,0,0,0,0,0.00,Matches
678,Zian Flemming,nl NED,"FW,MF",Burnley,eng Premier League,27-075,1998,0.4,1,2.50,0,0,0,1,0,0,0,0.00,Matches
679,Romano Floriani,it ITA,DF,Cremonese,it Serie A,22-261,2003,1.8,3,1.64,2,0,0,0,1,0,1,0.55,Matches
680,Phil Foden,eng ENG,MF,Manchester City,eng Premier League,25-140,2000,3.9,12,3.06,5,5,0,2,0,0,1,0.25,Matches
681,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,20-198,2005,6.4,22,3.43,14,0,3,4,1,0,1,0.16,Matches
682,Rayan Fofana,fr FRA,FW,Lens,fr Ligue 1,19-245,2006,4.2,12,2.88,5,0,4,2,1,0,1,0.24,Matches
683,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,30-161,1995,5.4,18,3.33,16,0,2,0,0,0,1,0.18,Matches
684,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,24-302,2000,1.4,1,0.69,1,0,0,0,0,0,0,0.00,Matches
685,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,26-278,1999,5.0,14,2.79,11,0,1,1,1,0,1,0.20,Matches
686,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,29-262,1996,5.6,9,1.61,5,3,0,0,1,0,0,0.00,Matches
687,Michael Folorunsho,it ITA,"MF,FW",Cagliari,it Serie A,27-250,1998,5.7,7,1.22,5,0,0,1,1,0,1,0.17,Matches
688,Álex Forés,es ESP,FW,Oviedo,es La Liga,24-186,2001,1.1,2,1.78,1,1,0,0,0,0,0,0.00,Matches
689,Pablo Fornals,es ESP,MF,Betis,es La Liga,29-235,1996,7.4,37,4.96,31,2,0,2,0,2,5,0.67,Matches
690,Héctor Fort,es ESP,DF,Elche,es La Liga,19-074,2006,1.0,5,4.89,1,0,3,1,0,0,0,0.00,Matches
691,Niccolò Fortini,it ITA,"MF,DF",Fiorentina,it Serie A,19-244,2006,0.9,2,2.28,1,1,0,0,0,0,0,0.00,Matches
692,Lyle Foster,za RSA,FW,Burnley,eng Premier League,25-042,2000,6.3,10,1.59,6,0,0,2,2,0,0,0.00,Matches
693,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,32-206,1993,7.0,7,1.00,7,0,0,0,0,0,3,0.43,Matches
694,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,27-276,1998,4.0,4,1.00,4,0,0,0,0,0,0,0.00,Matches
695,Alejandro Francés,es ESP,DF,Girona,es La Liga,23-075,2002,2.9,6,1.66,6,0,0,0,0,0,1,0.28,Matches
696,Przemysław Frankowski,pl POL,DF,Rennes,fr Ligue 1,30-186,1995,3.4,8,2.33,4,2,0,1,1,0,1,0.29,Matches
697,Davide Frattesi,it ITA,"MF,FW",Inter,it Serie A,25-358,1999,1.6,6,3.78,4,0,1,1,0,0,0,0.00,Matches
698,Oscar Fraulo,dk DEN,MF,Gladbach,de Bundesliga,21-313,2003,0.2,1,4.09,1,0,0,0,0,0,0,0.00,Matches
699,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,24-191,2001,5.8,4,0.69,3,1,0,0,0,0,0,0.00,Matches
700,Martin Frese,dk DEN,DF,Hellas Verona,it Serie A,27-284,1998,5.3,9,1.71,3,6,0,0,0,0,0,0.00,Matches
701,Remo Freuler,ch SUI,MF,Bologna,it Serie A,33-183,1992,4.9,8,1.64,7,1,0,0,0,0,0,0.00,Matches
702,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,27-213,1998,4.9,4,0.81,4,0,0,0,0,0,0,0.00,Matches
703,Jeremie Frimpong,nl NED,DF,Liverpool,eng Premier League,24-309,2000,0.9,2,2.25,2,0,0,0,0,0,1,1.13,Matches
704,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,es La Liga,28-237,1997,6.2,13,2.11,11,0,0,0,1,1,3,0.49,Matches
705,Chris Führich,de GER,FW,Stuttgart,de Bundesliga,27-279,1998,1.8,8,4.50,8,0,0,0,0,0,1,0.56,Matches
706,Joel Fujita,jp JPN,MF,St. Pauli,de Bundesliga,23-241,2002,5.9,18,3.06,16,0,0,0,0,2,1,0.17,Matches
707,Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,32-248,1993,4.2,6,1.42,6,0,0,0,0,0,0,0.00,Matches
708,Matteo Gabbia,it ITA,DF,Milan,it Serie A,25-359,1999,6.0,5,0.83,5,0,0,0,0,0,0,0.00,Matches
709,Tiago Gabriel,pt POR,DF,Lecce,it Serie A,20-293,2004,5.1,2,0.39,1,0,0,1,0,0,0,0.00,Matches
710,Gianluca Gaetano,it ITA,"MF,FW",Cagliari,it Serie A,25-163,2000,1.8,10,5.59,6,2,0,1,1,0,2,1.12,Matches
